AgentID,Tgt_3YN,Age_Grp,Gender,Apply_CH,re_hire_freq_grp,Q2,Q7,Q8,Q18,Q22,Q38,rank_INDEX14,rank_INDEX18,rank_INDEX23,rank_INDEX27,rank_INDEX28,rank_INDEX29,rank_INDEX32,rank_INDEX44,rank_INDEX93,rank_AVG_AMT_6M
250,0,40G,2,MGM,0,3,2,5,1,1,1,2,1,0,1,0,1,1,1,0,8
251,0,5060G,2,MGM,0,3,2,6,1,3,1,1,1,2,2,2,2,1,1,2,7
252,0,40G,2,MGM,0,3,2,5,3,1,2,2,2,1,2,2,1,1,2,1,9
253,1,30G,2,MGM,0,3,2,6,3,1,1,2,2,0,0,1,0,2,2,1,8
254,0,30G,2,MGM,0,2,1,6,1,1,1,2,2,2,0,1,0,1,1,1,9
255,1,40G,1,MGM,0,2,2,6,2,1,2,3,0,0,0,0,0,0,0,0,9
256,0,30G,2,MGM,0,3,1,7,1,4,1,3,0,0,0,0,0,1,1,1,2
257,1,40G,2,MGM,0,3,1,7,2,3,1,3,0,0,0,0,0,0,0,0,4
258,1,40G,2,MGM,0,1,1,7,3,1,1,2,3,1,2,2,2,2,2,1,8
259,0,40G,2,MGM,0,2,2,7,2,1,1,2,0,0,0,0,1,0,0,0,1
260,0,40G,2,MGM,0,3,3,7,2,1,1,1,2,2,2,2,2,2,2,3,4
261,0,40G,2,MGM,0,4,4,7,2,1,2,2,1,2,2,2,0,2,2,2,1
262,0,40G,2,MGM,0,1,2,7,2,5,1,2,2,1,1,2,2,2,2,3,4
263,0,5060G,2,MGM,0,5,2,6,1,6,1,0,3,3,3,3,2,2,2,2,8
264,0,40G,1,MGM,0,3,1,4,3,5,1,3,0,1,1,1,0,0,0,0,2
265,0,5060G,2,MGM,0,3,3,5,1,6,1,1,3,3,2,2,2,3,3,3,5
266,0,30G,1,MGM,0,3,1,7,1,1,1,3,0,0,0,0,0,0,0,1,5
267,0,5060G,2,MGM,0,4,1,7,1,6,1,1,2,3,2,3,3,3,3,3,5
268,0,40G,2,MGM,0,2,2,7,4,5,2,3,0,0,0,0,0,3,3,0,1
269,1,5060G,2,MGM,0,2,1,6,2,1,1,2,0,2,2,2,3,2,2,1,9
270,1,40G,2,MGM,0,2,1,7,1,6,1,2,1,0,0,0,1,1,1,1,9
271,0,5060G,2,MGM,0,3,2,3,1,6,2,0,3,3,2,3,3,3,3,3,5
272,0,40G,2,MGM,0,4,2,7,4,5,1,1,2,2,2,2,2,3,3,3,2
273,1,30G,2,MGM,0,1,2,7,2,6,1,,,,,,,,,,9
274,1,40G,2,MGM,0,4,3,7,4,5,1,3,0,0,0,0,1,0,0,0,8
275,1,30G,2,Vender,0,1,2,5,2,5,1,3,2,0,0,0,2,3,2,3,6
276,1,40G,2,MGM,0,3,2,7,2,1,2,1,1,2,3,3,2,3,3,1,7
277,0,5060G,2,MGM,0,3,1,7,1,1,1,1,2,2,1,1,2,0,0,1,5
